"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAGEA12",14.904405312335,1.78039246793125,0.471967964316113,3.77227397310973,0.00016176648709163,0.0133210083674665
"MTND1P23",444.862958224861,1.72718082559001,0.254953510391976,6.77449321225102,1.24843095349733e-11,6.94770741241772e-09
"MTND5P2",1.04250868914538,1.57078101116518,0.366198396472838,4.28942624078827,1.79135291472407e-05,0.00274422770522245
"XIST",1832.91988488103,8.68911874870249,0.198111392263363,43.8597631838934,0,0
"MTND5P14",1.82231920067497,1.70314716119673,0.442476074061123,3.8491282603485,0.000118538930247795,0.0110787147786298
"HNRNPA1P68",2.37929617344676,1.24138155070815,0.277351409034532,4.47584367798757,7.61101591966494e-06,0.00141188189257219
"AL359976.1",3.40521211162991,1.19868684540318,0.276249937439526,4.33913888456747,1.43042105894076e-05,0.00229954188381776
"AC005392.2",36.9405783630066,1.05886748472697,0.195835293511078,5.40692878052176,6.41146223714144e-08,2.30587495630629e-05
"MTND5P15",0.900128938925692,1.5064833093479,0.440171017155635,3.42249546342857,0.000620491332380057,0.0314787936993363
"FAM238B",1.26340826228256,2.14293679047314,0.414377941863662,5.1714547855402,2.32278479908016e-07,7.41877266697515e-05
"MTCYBP3",0.806668323165149,1.378715537863,0.344595379541554,4.00096930985329,6.30835401112933e-05,0.00677502464411638
"AC053503.4",12.1546900236381,1.1319198809102,0.251739617881262,4.49639151134365,6.91164195606902e-06,0.00131536066863428
"Z84478.1",1.83448218003715,2.16065762262338,0.494585044308595,4.36862708949049,1.25030049996355e-05,0.00210658428273675
"AL672277.1",0.428012404197666,1.12345710199408,0.322417747376885,3.48447661809644,0.000493100543860883,0.0269517603809676
"TCAM1P",8.39061013568096,1.43034353594914,0.273873872246771,5.22263596821075,1.76393946981688e-07,5.78477649342624e-05
"UGT1A4",0.741336148894241,1.48061232781346,0.425953527694929,3.47599498899769,0.000508961795821369,0.0275319098093062
"MTCO1P24",0.889136277691556,1.09067096879502,0.300450433035467,3.63011947686651,0.000283290059502931,0.019022383703003
"RNU6-638P",1.43729063747076,1.17527323154886,0.253035540518055,4.64469627129316,3.40577132341251e-06,0.000767447734410683
"AC233266.2",3.05349290966925,1.04787507486077,0.211097915425005,4.96392905041755,6.90811881568942e-07,0.000195180926230979
"AC103810.4",0.728177640376816,1.01160765705969,0.289250711970196,3.49733852051478,0.00046992510975051,0.0262714600930536
"AC008649.2",2.95459312029945,1.17063842384194,0.260496755985363,4.49386948952148,6.9940502492871e-06,0.00132418281266142
"CSAG3",2.09018749002736,1.72503450479239,0.512755979552153,3.36424063996105,0.000767545877443953,0.0359133249407852
"AC011466.2",0.969608296890878,1.12161972794942,0.274418577518507,4.08725873478363,4.3650022878642e-05,0.0053620914392392
"AL133467.4",1.18625290527975,1.77485599430032,0.50934729924196,3.48456936346136,0.000492929679262569,0.0269517603809676
"TSIX",7.61402241483329,2.4426701775615,0.193785073869347,12.605048101942,1.98051736423049e-36,2.34659363832858e-33
"LINC00221",0.905511042874603,1.31544760444201,0.379193957966567,3.46906267045001,0.000522277607228817,0.0279639307777179
"OR7E39P",0.773735418087637,1.03662234649259,0.309094204547872,3.35374242299012,0.000797265410922075,0.0367212468852853
"AC023509.4",2.24014426095865,1.29959844117698,0.338314437038141,3.84139220470354,0.00012233845930262,0.0113069571757315
"MIR8075",0.858305896950576,2.174330271088,0.509471751975171,4.26781320585163,1.97398509043428e-05,0.00295936621925107
"AC008764.10",1.80094737379001,1.82084227173034,0.403697186568576,4.51041605518107,6.47006013931707e-06,0.00126744277799785
