"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC009078.1",1.46807805180627,-3.44545961962716,0.373569401491957,-9.22307770889888,2.88692461631957e-20,2.52468431327186e-17
"BCORP1",2.58858904604448,-4.22111290013423,0.202364664510202,-20.8589424954742,1.26436310318047e-96,1.93500236582578e-93
"GPR89P",1.62858988447057,-1.02614575397025,0.22652496641653,-4.52994550756664,5.89989014961411e-06,0.00119394290222047
"SNORA2C",3.86489545579445,-1.03869375436,0.207034007993278,-5.0170199786391,5.24791123706231e-07,0.000149423085067673
"SNORA79B",10.9769139526353,-1.51422344615353,0.247857588073321,-6.10924788675664,1.00101747759553e-09,4.71376563488253e-07
"RNA5SP221",1.59746482090268,-1.62810423625196,0.39263212431032,-4.14664041846249,3.37389296767402e-05,0.00450629413464243
"AL731537.1",1.14961330329317,-1.11386308527802,0.277477743344102,-4.01424298703738,5.96368861863771e-05,0.00653869501380786
"RBMY2EP",4.77154241688134,-5.5891453414575,0.274944900564744,-20.3282378759426,7.23545491693094e-92,1.06303303639549e-88
"TCEAL3-AS1",1.20655582858375,-1.0868044032803,0.306443874311193,-3.54650392579443,0.000390378925929809,0.0234327914349803
"AC104823.1",129.316612799514,-1.31678192049586,0.252857362918721,-5.20760758277436,1.91290933284191e-07,6.21780175179498e-05
"SNORA71A",26.9613216414543,-1.25264234772816,0.185696267441376,-6.74565173004145,1.5234163958577e-11,8.22868885586077e-09
"ARSDP1",3.79298340317068,-4.75503610043843,0.219194896893313,-21.6931879703057,2.37915187332806e-104,3.79940210031912e-101
"AC104058.1",1.50940790519042,-1.15275478078213,0.342022955325926,-3.37040178979691,0.000750586556032045,0.0354813953707297
"NAALADL2-AS2",0.937296906722641,-1.35745758381787,0.295737778312242,-4.59007162211335,4.43093942258252e-06,0.000957343558773269
"AC010086.1",0.985540045117332,-3.31770288434272,0.277504914348716,-11.9554743458477,6.07854950251921e-33,6.97703510086033e-30
"LINC02672",2.7232551194647,-1.32067212980235,0.370992513086154,-3.55983499186049,0.00037108789034856,0.0228309182788988
"RBMY2JP",0.712696377734544,-2.91367655695946,0.37118203344713,-7.84972410948999,4.16953472631288e-15,3.19056271869733e-12
"HSFY3P",0.500952509245958,-2.35416482414907,0.381942879357866,-6.16365679629101,7.10839227237734e-10,3.43541116005816e-07
"SOX21-AS1",1.7704824568621,-1.26837418714312,0.30653879300799,-4.13772813123217,3.50761633121898e-05,0.00463434344768609
"LINC01940",1.83532338772179,-1.13758646501458,0.344353894984671,-3.30353883485251,0.000954727448400759,0.0407283846454819
"NGF-AS1",0.783348546883937,-1.13515809948405,0.320914612683612,-3.53725899232639,0.000404302990020872,0.0240681504432198
"AMD1P1",0.748711429177194,-1.05485751240904,0.287584111692373,-3.66799649049253,0.000244458538733424,0.0172672348609205
"CDY4P",0.704377682667425,-2.86264223389194,0.798455779304729,-3.58522326231346,0.000336789963723053,0.0213649315501688
"AL138962.1",1.33543156182037,-1.02354828992448,0.279463741620211,-3.66254414254381,0.000249722703076681,0.0174273641423104
"NAP1L1P2",0.553622091499476,-2.01232312160734,0.289812845498055,-6.94352632351091,3.82431307961932e-12,2.22963522880028e-09
"TTTY10",1.00944991602027,-3.38524072478955,0.261016847904424,-12.9694337816427,1.82372537982669e-38,2.23284777336781e-35
"AC012494.1",0.920185888429372,-1.31058228087149,0.371701403617033,-3.5259008120986,0.00042204500399634,0.0245243424925133
"KIF25-AS1",7.96259431756352,-1.06680187629832,0.264244575089907,-4.03717607423104,5.40984663521775e-05,0.00617092133265677
"AL050341.1",1.92745949890046,-1.28614934223693,0.276012654914924,-4.6597477301661,3.16597157226567e-06,0.00072227413571005
"LINC00278",10.2927211113055,-6.5523428865019,0.193000038549104,-33.9499563614586,1.22156193021683e-252,2.804248106054e-249
"SILC1",1.52020423876168,-1.11586911801733,0.300382947842383,-3.71482178343508,0.000203346957423328,0.0150583341656429
"LINC00384",1.20630156925403,-1.22374800338352,0.355831610197271,-3.43912111322847,0.000583606077204899,0.0300222005822632
"ZFY-AS1",2.3721858987954,-4.55314481165783,0.20377296414886,-22.3442046430245,1.37474506419263e-110,2.40449458132358e-107
"AC011294.1",0.945387886572571,-1.37095947192522,0.364488866339392,-3.76132057391475,0.000169018643376049,0.013550821963407
